"acidity","residualSugar","density","pH","alcohol"
6.9,1.8,0.9899,3.25,12.6
7.5,1.7,0.9916,3.21,11.5
7.1,12.4,0.9969,3.04,9.2
6,15.9,0.9979,3.14,8.8
8.6,1.2,0.9913,2.95,11.4
9.8,10.5,0.9956,2.89,10.1
6,15.9,0.9979,3.14,8.8
7.4,13.5,0.9975,3,9.1
7.1,9.6,0.9962,3.4,9.4
6,12.1,0.997,3.34,9.4
7.5,18.9,1,2.99,9
7.4,13.5,0.9975,3,9.1
7.3,14.4,0.9974,3.2,9.2
7.1,9.6,0.9962,3.4,9.4
7.1,16.5,0.999,3.16,9.1
7.1,16.5,0.999,3.16,9.1
6.9,1.3,0.9927,3.27,10.3
6.5,8.5,0.9959,2.89,8.8
7.2,18.75,1,3.04,8.9
7.2,13.3,0.9982,3.01,9.2
6.7,9.2,0.9968,3.22,9.1
6.7,9.2,0.9968,3.22,9.1
5.5,1.5,0.994,3.63,9.7
6,3.3,0.9914,3.31,11.3
7,1.7,0.9911,3.19,11.8
7.2,13.3,0.9982,3.01,9.2
7.3,13.3,0.9982,3.04,9.2
5.9,5.7,0.9934,3.22,10.2
7.8,12.2,0.9984,3.01,8.8
7.4,6.85,0.9952,3.29,9.7
6.9,5,0.9952,3.29,9.1
6.4,1.6,0.9928,3.21,9.8
6.7,1.1,0.9912,3.27,11
7.4,7,0.994,3.14,10.5
6.5,7.6,0.9958,3.45,9.7
6.1,2.8,0.9924,3.3,10.9
6.1,2.7,0.9924,3.31,10.9
5.7,10.4,0.994,3.39,10.6
6.5,7.6,0.9958,3.45,9.7
6.5,13.1,0.9979,3.23,9
6.6,15.8,0.9982,3.24,9.2
6.8,8.1,0.9961,3.19,8.9
6.7,15.7,0.9979,3.26,9.6
8.2,1.2,0.992,3.12,10.7
7.1,10.5,0.9975,3.16,8.7
6.8,1.9,0.9917,3.15,10.8
8.1,1.9,0.9923,3.23,11.8
6.3,2.2,0.9927,3.3,10.2
7.1,10.5,0.9975,3.16,8.7
7.9,1.2,0.992,3.21,10.8
8.5,4.3,0.9947,3.18,9.7
8.1,2,0.9921,3.12,11.2
6.3,1.1,0.9905,3,10.9
5.6,1.4,0.9918,3.28,10.1
6.4,5.2,0.9951,3.38,9
6.3,4.6,0.9917,3.38,12
6.9,4.1,0.994,2.99,9.4
7.9,8,0.9934,3.12,11.5
7.6,10.2,0.9968,3.14,9.9
6.9,4.1,0.994,2.99,9.4
7.2,1.2,0.9919,3.14,10.4
8.2,7.5,0.9966,3.06,9.7
7.4,14,0.9979,2.89,8.9
7.4,14,0.9979,2.89,8.9
6.1,1.5,0.9898,3.29,12.4
5.2,1.4,0.9894,3.36,12.1
5.2,1.4,0.9894,3.36,12.1
6.1,1.5,0.9898,3.29,12.4
6.4,14.5,0.998,2.98,9.1
6.3,4.8,0.9932,3.28,10.6
7.4,14,0.9979,2.89,8.9
6.7,13.1,0.997,3.15,9.5
7,13,0.9972,3.16,9.8
8.4,8.7,0.9974,3.14,9.6
6.7,2.4,0.9896,3.08,12.6
7.5,8.95,0.9968,3.08,9.3
9.8,9.85,0.9958,2.87,10
7.1,1.5,0.9906,3.12,12.7
7.9,1.5,0.9917,3.13,11
7.6,0.8,0.9902,3.03,11.4
6.3,4.55,0.9918,3.35,11.5
7.5,17.7,0.999,3.09,10.2
6.9,7.5,0.9927,3.11,11.4
7.2,5.1,0.991,3.03,12.6
5.9,12.9,0.9972,3.28,9.4
6,1.2,0.9931,3.11,8.7
6.4,5.5,0.995,3.19,9.2
6.4,5.5,0.9951,3.19,9.3
7.1,1.2,0.9936,3.09,9.2
6.8,22,1.001,2.93,8.7
6.9,14,0.9979,3.18,9.6
6.8,11.9,0.997,3.02,9.3
6.8,11.9,0.9972,3.02,9.3
6.7,9.4,0.9954,3.12,9.9
5.9,4.2,0.9924,3.15,11
6.8,3.8,0.9906,3.26,12.7
6.5,8.5,0.9962,3.09,8.9
6.6,8.5,0.9962,3.09,8.9
6.8,22,1.001,2.93,8.7
6.8,8,0.9928,3.02,11.4
6.6,5.1,0.9942,3.36,9.6
6.4,3.6,0.9942,3.02,9.1
6.4,3.5,0.9942,3.02,9.1
6.4,3.6,0.9942,3.01,9.1
6.8,7.8,0.9961,3.13,8.9
7.1,13.1,0.998,3.1,8.8
6.8,7.8,0.9961,3.13,8.9
6.8,16.1,0.9984,3.15,9.3
7.1,13.1,0.998,3.1,8.8
6.9,13.2,0.9973,3.2,9.6
6.8,13.9,0.9949,3.33,12
5.8,2.3,0.9924,3.28,10.2
6.4,11.6,0.9972,3.15,8.8
7,8.3,0.9958,3.21,9.2
10.2,6.2,0.9968,2.99,9.9
6.8,2.2,0.9938,3.32,10.2
6.1,0.9,0.993,3.22,9.5
5.6,9.7,0.994,3.31,10.5
6.8,1.4,0.9918,3.32,11.2
7,8.3,0.9958,3.21,9.2
6.7,5.3,0.9944,3.44,9.7
6.2,1.4,0.9912,3.3,11.1
5.8,9.2,0.9961,3.31,9.4
7.5,7,0.9939,3.03,11
5.8,9.2,0.9961,3.31,9.4
5.7,17.5,0.9989,3.31,9.4
7.5,7,0.9938,3.04,11
7.5,7,0.9939,3.03,11
7.2,9.5,0.9971,3,9.1
6.2,1.4,0.9912,3.3,11.1
6.5,0.8,0.9936,3.42,9.1
6.3,1.8,0.9929,3.39,10.4
7.1,17.8,0.9998,3.32,8.7
6.4,2.4,0.9938,3.5,9.7
7.1,10.3,0.9969,3.17,9.1
6.4,2.4,0.9938,3.5,9.7
7.1,17.8,0.9998,3.32,8.7
6.8,9.7,0.9972,3.37,8.9
8.3,7.8,0.9976,3.34,9.6
8.2,7.8,0.9976,3.31,9.5
7.2,14.3,0.9979,3.09,9
7.2,14.3,0.9979,3.09,9
7.2,14.3,0.9979,3.09,9
7.2,14.3,0.9979,3.09,9
6.8,13.2,0.9972,3.27,9.6
7,1.4,0.9918,3.34,11.1
6.2,15.55,0.9982,3.48,9.6
7.3,13.7,0.9985,3.2,8.7
7.7,7.8,0.9944,3.13,10.4
7.1,2.4,0.9903,3.15,11.4
6.8,2.7,0.9934,3.3,9.7
6.9,11.2,0.9975,3.14,8.7
6.1,2,0.9923,3.37,11.3
6.8,2.1,0.99,3.16,12.6
5.8,1.4,0.9905,3.25,10.9
5.6,1.4,0.9905,3.25,10.9
6.1,10.4,0.996,3.38,10
5.9,4.6,0.9964,3.72,10
8.5,16.2,0.998,3.02,9.8
6.9,11.2,0.9975,3.14,8.7
5.8,3.5,0.9913,3.53,11.7
5.8,1.5,0.9932,3.21,9.3
6.7,1.1,0.9935,3.32,9.6
6.3,5.7,0.9927,3.27,11
6.3,5.7,0.9927,3.27,11
6.4,1.8,0.9912,3.32,11.8
5.8,0.9,0.9904,3.28,11.4
6.9,5.4,0.9939,3.32,10.2
6.9,19.45,0.9996,2.93,8.9
6.9,8.2,0.9944,3.17,10.2
7.2,13.6,0.9977,3.08,9.6
6.2,1.2,0.9912,3.1,10.6
6.9,19.45,0.9996,2.93,8.9
6.9,8.3,0.9965,3.25,9.2
5.3,6.9,0.9944,3.34,9.7
5.3,7.1,0.9945,3.34,9.7
5.4,7,0.9944,3.34,9.7
6.9,8.3,0.9965,3.25,9.2
5.2,7,0.9944,3.33,9.7
5.8,13.1,0.9972,3.29,9.3
6.6,5.1,0.9949,3.24,9
7,10.7,0.9966,3.05,9.5
6.6,8.9,0.9954,3.14,9.8
6.7,9.1,0.9954,3.14,9.8
7.7,1.1,0.9915,2.89,10.6
6.8,1.2,0.9919,3.05,10.6
7,4.7,0.9916,3.26,12.4
7,2.8,0.99,3.19,12.6
6.1,5,0.9909,3.3,12.3
6.8,5.1,0.9938,3.08,10.5
6.7,15.6,0.9982,3.19,9.3
7.1,15.4,0.9988,3.12,8.8
7.3,7.2,0.9961,3.08,8.8
6.5,15.7,0.9978,3.22,9.7
7.2,14.2,0.9979,2.98,9
7.2,14.2,0.9979,2.98,9
7.2,14.2,0.9979,2.98,9
7.2,14.2,0.9979,2.98,9
5.9,5.8,0.9945,3.52,10.5
7.4,19.8,1,2.96,9.1
6.2,7.3,0.9957,3.44,9.8
9.1,1.6,0.9968,3.23,8.5
6.3,1.2,0.9934,3.37,9.4
8.3,10.6,0.9976,3.09,9.4
7.2,3.8,0.9932,3.19,11.2
7.5,11.3,0.997,3.17,10
6.7,2.1,0.9923,3.15,10.3
6.1,1.6,0.9914,3.27,10.8
8.3,0.9,0.992,3.13,10.5
6.1,1.6,0.9914,3.27,10.8
6,1.3,0.9914,3.32,11.1
7.3,6.8,0.9949,3.2,9.9
7.3,6.8,0.9949,3.2,9.9
7.2,6.7,0.995,3.2,9.9
7.3,6.7,0.995,3.2,9.9
6.2,4.9,0.9927,3.2,10.4
6.2,4.8,0.9928,3.21,10.4
6.1,2.1,0.9917,3.4,11.5
5,8.3,0.9918,3.53,12.5
7.8,3.7,0.9954,3.36,10
5.7,6.7,0.9941,3.29,10
5.8,6.6,0.9941,3.29,10
6.8,1.1,0.9934,3.09,9.1
6.8,4.7,0.9927,3.21,10.6
6.6,7.7,0.9938,3.19,10.5
5.9,7.85,0.9933,3.52,11.5
6.1,3.3,0.9934,3.54,10.1
6,1.1,0.9927,3.61,10.3
6.6,7.7,0.9938,3.19,10.5
6.8,4.7,0.9927,3.21,10.6
6.8,9.3,0.9946,3.16,10.4
8.3,2,0.993,3.02,11.4
7.5,5.8,0.9946,3.18,10.5
7.9,15.15,0.9976,2.96,10
6.4,6.3,0.9944,3.19,10
6.5,15.4,0.9978,3.23,9.6
7.2,1.3,0.992,3.17,10.4
6.4,4.8,0.9912,3.36,12.5
6.8,4.6,0.9927,3.2,10.6
6.3,1.8,0.9906,3.28,11.8
6.5,9.9,0.9954,3.11,9.8
5.6,5.7,0.9923,3.25,10.8
6.3,1.8,0.9906,3.28,11.8
6.3,1.5,0.991,3.32,11.2
5.8,12.3,0.9972,3.28,9.3
5.9,1.3,0.9945,3.45,10.4
6.6,1.5,0.9934,3.43,10.2
7.4,7.8,0.9964,3.19,9
8,1.5,0.9948,3.2,10
6.4,9.7,0.9962,3.18,9.1
5.4,3,0.9931,3.29,10
5.4,3,0.993,3.29,10
7.1,4.6,0.9942,3.28,9.6
5.6,1.3,0.9906,3.36,11.2
6.7,15.6,0.9995,3.2,8.8
7.8,13.6,0.998,3.15,10
7.6,11.2,0.997,3.15,10
6.3,2.1,0.9914,3.27,11.4
7.3,6.85,0.992,3.03,11.9
5.5,2.5,0.9924,3.14,9.6
7.3,6.85,0.992,3.03,11.9
5.8,4.4,0.9937,3.25,9.6
7.3,14.3,0.9978,2.89,9
7.3,14.3,0.9978,2.89,9
6.1,1.1,0.9927,3.15,9.5
10,1.4,0.994,3,10.4
6.9,4.7,0.9935,3.2,10.6
6.4,14.9,0.9968,3.28,10.2
7.1,1.2,0.9941,3.15,8.9
6.8,5.3,0.9942,3.4,9.7
7.3,14.3,0.9978,2.89,9
6.8,2.3,0.9923,3.49,11.4
6,3.5,0.9912,3.4,12.3
6,1.5,0.9923,3.49,10.8
6.9,1,0.9927,3.12,9.4
7.7,2.3,0.9931,3.17,10.6
7.1,12.5,0.9941,3.17,11.6
6.9,1,0.9927,3.12,9.4
7.7,2.3,0.9931,3.17,10.6
6.6,0.8,0.9934,3.34,10
7.2,2.4,0.9936,3.1,9.2
5.1,1.6,0.9893,3.51,12.5
5.1,1.6,0.9893,3.51,12.5
6.4,1.5,0.9919,3.32,10.4
7.3,1.4,0.9924,3.15,10
5.7,2.6,0.9927,3.22,10
6.4,1.5,0.9919,3.32,10.4
7.3,1.4,0.9924,3.15,10
7.2,12.5,0.9975,3.1,9
7.5,9.6,0.9969,3.12,9.2
7.2,2.4,0.9936,3.1,9.2
6,3.2,0.991,3.38,11.3
5.1,1.6,0.9893,3.51,12.5
5,1.5,0.9906,3.48,10.8
6.3,5.9,0.9941,3.12,10.1
6.7,5.4,0.995,3.39,9.7
7,14.9,0.9983,3.18,9.3
7,14.9,0.9983,3.18,9.3
6.5,1.1,0.9916,3.1,10.6
6.1,9.8,0.9957,3.36,10.2
7.3,2,0.99,3.08,12.2
6.8,11.8,0.9976,3.19,8.8
6.8,1.3,0.992,3.18,10
8.2,1.8,0.9917,3.09,11.4
6.3,1.5,0.9917,3.46,11.4
5.9,18.2,0.9993,3.35,9.4
6.4,2.9,0.9908,3.3,11.7
6.3,1.5,0.9917,3.46,11.4
6.8,11.8,0.9976,3.19,8.8
6.1,1.4,0.9934,3.23,9.2
7.1,18.2,1,3.07,8.7
6.8,6.3,0.9918,3.24,12.6
6.8,1.3,0.992,3.18,10
5.8,4,0.9896,3.39,12.8
6.9,1.2,0.9932,3.17,9.4
6.3,1.2,0.992,3.26,10.3
8.2,1.8,0.9917,3.09,11.4
7.2,18.95,0.9999,2.97,9
7.3,12.7,0.998,3.3,9.6
7.2,1.2,0.9918,3.16,10.5
7.2,1.2,0.9918,3.16,10.5
7.2,18.95,0.9999,2.97,9
7.3,12.7,0.998,3.3,9.6
7.4,1.2,0.9927,3.19,9.8
6.8,7.7,0.9959,3.1,9
7.4,1.2,0.9927,3.19,9.8
7.4,1.6,0.9929,3.31,10.5
7,2.7,0.9898,3.16,12.7
7,8.7,0.9954,3.25,10.4
7,8.6,0.9954,3.25,10.4
7,8.6,0.9954,3.25,10.4
6.9,8.3,0.9954,3.34,10.5
7,8.7,0.9954,3.25,10.4
7,8.6,0.9954,3.25,10.4
6.8,13.3,0.9974,3.09,9.4
7.8,1.2,0.9936,3.06,9.1
7.1,13.6,0.9978,3.1,9.3
6.8,13.3,0.9974,3.09,9.4
6.4,1.1,0.9927,3.21,9.8
7.4,2.3,0.9934,3.18,9.9
7.2,1.5,0.9938,3.07,9.2
7,7.1,0.9922,3.35,12.1
6.9,6.2,0.992,3.38,12.2
6.1,2.5,0.9935,3.27,9.8
6.6,1.4,0.9906,3.35,12.4
7.4,2.3,0.9934,3.18,9.9
6.2,1.2,0.9934,3.26,9.2
6.7,1.6,0.9913,3.29,11.6
6.1,6.6,0.9938,3.3,10.4
6,2.2,0.9898,3.43,12.9
6.6,12.2,0.9975,3.26,9.3
6.9,20.8,0.9975,3.2,11
7.1,11,0.9937,3.24,11.5
5.8,2.6,0.9914,3.53,12.4
6.5,14,0.9982,3.44,9.8
6.5,14,0.9982,3.44,9.8
6.4,1.6,0.9929,3.48,10.5
7.2,9.9,0.9971,3.03,9.1
6.1,1.2,0.9921,3.24,10.1
5.9,2.7,0.9931,3.46,10.6
6,1.6,0.9924,3.41,10.5
6.4,1.6,0.9929,3.48,10.5
6.4,14,0.9982,3.44,9.8
6.3,1.5,0.9892,3.3,12.9
7.1,8.6,0.9956,2.95,9.5
6,1,0.9924,3.29,9.8
6.1,9.1,0.9971,3.37,8.5
7.1,8.6,0.9956,2.95,9.5
7,15.2,0.9982,3.22,9.3
5.9,12.4,0.9973,3.35,9.5
6.8,2.2,0.9932,3.17,9.4
7.2,11,0.9976,3.16,8.7
6.3,10,0.9962,2.95,8.9
7,9,0.9956,3.22,9.4
6.8,2.2,0.9932,3.17,9.4
7.2,11,0.9976,3.16,8.7
7.2,18.15,0.9992,3.09,9.6
8.6,12.15,0.9983,3,9.3
6.5,3.4,0.9937,3.14,10
6.6,2,0.99,3.25,12.5
7,4.8,0.9944,3.36,9.6
5.5,4.5,0.9938,3.24,9.4
7,11,0.9965,3.03,9.5
7.4,1.1,0.9893,2.99,12.4
7,1.5,0.9927,3.11,10.5
7.1,1.7,0.994,2.97,9.2
6.3,1.7,0.9928,3.32,10.4
6.7,8.9,0.9964,3.22,9.2
5.9,1.3,0.9917,3.33,10.6
5.8,13.3,0.9972,3.34,9.5
6.7,8.9,0.9964,3.22,9.2
6.2,6.6,0.9954,3.29,9.6
6.2,1.5,0.993,3.47,9.7
6,1.5,0.9928,3.46,9.7
6.6,1.3,0.9916,3.1,10.7
7.4,1.6,0.9936,3.34,10.5
7.4,7.6,0.9962,3.13,8.9
7,1,0.9899,3.09,12.1
7.1,1.6,0.9898,3.25,12.7
7.8,8.9,0.996,3.18,9.9
6.3,1.8,0.9907,3.2,11.4
6.8,4.7,0.994,3.37,10.7
5.7,7,0.9913,3.33,12.5
7.2,10.8,0.9976,3.08,8.6
6.8,1.6,0.9904,3.29,12.5
5.7,1,0.992,3.27,10
7.2,10.8,0.9976,3.08,8.6
7.2,16.7,0.999,3.08,9.5
6.8,14.2,0.9975,3.12,9.6
6.4,2.25,0.9937,3.2,9.9
6.5,2.25,0.9937,3.19,9.9
7.8,12.2,0.998,3.06,8.9
7.8,12.2,0.998,3.06,8.9
7.3,3.3,0.9944,3.01,8.8
6,1.9,0.9938,3.64,10
5.9,3.5,0.9907,3.44,12
6,1.9,0.9938,3.64,10
6.7,1.3,0.9921,3.21,10
7.8,1.8,0.9908,3.11,12.1
7.3,5.2,0.9931,3.16,11
7.4,1.4,0.9915,3.21,11.2
7.8,9,0.9952,3.17,10.3
6.1,2.2,0.9926,3.37,10.4
6.8,1.6,0.9934,3.08,9.1
7.4,1.7,0.992,3,10.4
5.9,1.9,0.9918,3.43,10.8
7.2,12.6,0.9942,3.19,11.7
7.9,2.1,0.9942,3.05,9.8
7.9,2.1,0.9942,3.05,9.8
6.9,1.3,0.9901,3.03,11.4
5.8,1.7,0.9898,3.03,11.2
5.6,1,0.9902,3.37,11.4
5.9,3.3,0.9934,3.09,9.2
7.2,5,0.9906,3.04,12.5
6.1,1.8,0.9898,3.36,12.6
5.2,1.6,0.9896,3.44,12.2
5.6,4.5,0.9922,3.56,11.2
6.4,4.9,0.9947,3.43,9.7
6.4,4,0.9945,3.06,9.3
7.4,13.2,0.9976,3.01,9
7.4,13.2,0.9976,3.01,9
7.4,13.2,0.9976,3.01,9
7.9,15.3,0.9987,3.09,9.1
7.9,15.3,0.9987,3.09,9.1
7.4,13.2,0.9976,3.01,9
6.1,1.5,0.992,3.31,10.4
6.8,4.55,0.9955,3.37,9.5
6.7,9.9,0.9953,3.46,11.4
7.2,10.4,0.9976,3.16,8.7
5.5,1.1,0.992,3.34,9.9
6.7,8.7,0.9952,3.22,9.9
6.8,13.9,0.9983,3.21,9
6.4,1.4,0.9933,3.49,10
6.3,7.2,0.9958,3.49,9.7
7.7,1.9,0.9922,3.3,11.8
6.5,1.7,0.9928,3.49,10.2
7.2,10.4,0.9976,3.16,8.7
7,13.6,0.9976,3.07,9.6
9.2,1.2,0.9916,2.93,11.3
7.8,1.6,0.9901,3,12.1
7,13.6,0.9976,3.07,9.6
7.8,1.6,0.9901,3,12.1
9.2,1.2,0.9916,2.93,11.3
8.4,12.2,0.9982,2.98,9.4
6.1,1.6,0.993,3.32,10.4
5.9,12.1,0.9969,3.25,9.5
7.2,4.2,0.991,3.01,12.3
6.7,9.1,0.9953,3.12,9.9
5.9,1.6,0.9924,3.24,10.1
7.7,8.8,0.9969,3.09,9.2
7.4,1.4,0.9928,3.08,10.4
6.8,4.2,0.9945,3.2,9.1
7.8,10.3,0.9967,3.12,10
7.2,12.4,0.9944,3.13,11.5
6,2.2,0.9928,3.08,9.8
6.1,2.2,0.9929,3.08,9.8
6.5,5.2,0.9948,3.19,9.4
7.4,10.8,0.9976,3.05,8.7
6.5,2.7,0.9912,3.32,11.6
6.7,16.3,0.9987,3.04,8.8
7.2,2.7,0.99,3.16,12.7
7.4,1.9,0.991,3.17,11.7
8.2,1.8,0.9933,3.13,10.2
8.2,1.8,0.9933,3.13,10.2
7.1,2.8,0.9899,3.15,12.7
6.5,2.7,0.9912,3.32,11.6
6,6,0.9912,3.38,12.3
7.4,10.8,0.9976,3.05,8.7
5.7,4.2,0.994,3.35,9.4
7.3,6.4,0.9947,3.13,10.1
7.4,10.7,0.9954,2.86,9.7
6.6,1.6,0.993,3.42,10.1
7.4,10.7,0.9954,2.86,9.7
7.4,7.9,0.9963,3.13,8.9
6.1,1.7,0.992,3.47,10.8
6.9,2.1,0.9926,3.42,10.8
7,5.8,0.995,3.19,9.5
7.1,14.5,0.9983,2.94,9.1
7.3,1.2,0.992,3.32,10.9
6.9,10.1,0.9968,3.2,9.4
6.4,1.1,0.9905,2.97,10.8
6.4,1,0.9904,2.97,10.8
6.3,0.9,0.9926,3.45,10.5
6.9,10.1,0.9968,3.2,9.4
7,4.9,0.9928,3.17,10.8
5.9,11.4,0.9949,3.35,10.5
6.9,1.4,0.9909,3.08,11.5
6.7,1.4,0.9937,3.11,9.4
7.2,1.4,0.9914,2.88,10.8
6.4,1.1,0.9905,2.97,10.8
6.4,1,0.9904,2.97,10.8
6.3,1.5,0.9924,2.99,9.8
6.3,1.5,0.9924,2.99,9.8
7.3,7.5,0.9965,3.43,9.6
7.3,7.5,0.9965,3.43,9.6
6.1,17.75,0.9993,3.34,9.5
7.4,5.7,0.9965,3.48,10.7
6.5,3.2,0.9908,3.25,12.4
7.4,4.3,0.992,3.09,11.1
7.5,11,0.9978,2.99,8.8
7.5,10.9,0.9978,3,8.7
7.5,10.9,0.9978,3,8.7
7.5,11,0.9978,2.99,8.8
7.8,2.4,0.9912,3.21,11.7
7.8,1.9,0.9928,3.23,10.9
7.7,1.8,0.9928,3.23,10.8
7.4,1.4,0.993,3.12,9.6
6.5,16.8,0.9993,3.18,9
6.5,8.9,0.9965,2.85,9
5.3,6.6,0.9937,3.36,10.4
7.2,1.1,0.9913,3.23,11.4
6,1.4,0.9934,3.26,9.3
6.2,13.3,0.9952,3.33,11
7.6,10.4,0.9983,3.32,9.1
7,6.2,0.9957,3.23,9.4
7,6.2,0.9957,3.23,9.4
5.8,1.2,0.9916,3.18,10.5
7,18.05,0.9999,3.22,8.8
7,18.05,0.9999,3.22,8.8
6.9,4.8,0.9936,3.26,10.7
6,12.6,0.9972,3.33,9.5
6.1,4.5,0.9933,3.43,10.9
5.9,4.5,0.9934,3.49,10.8
6.2,4.7,0.9931,3.41,10.8
7.4,11.9,0.9976,3.1,9.2
5.6,5,0.9937,3.3,10.3
5.8,5.8,0.9937,3.3,10.3
5.6,1.2,0.991,3.34,11
6.1,12.9,0.9979,3.25,9
6.3,13.9,0.9971,3.36,10.4
6.4,11.5,0.9969,3.31,9.5
6.4,11.4,0.9968,3.31,9.5
6.3,7.8,0.9961,3.24,9
6.5,1.1,0.993,3.09,9.5
7.4,12.2,0.9973,3.16,9
6,5.9,0.9944,3.16,10
7.1,14.4,0.9986,3.07,9.1
7.1,14.4,0.9986,3.07,9.1
7.1,14.4,0.9986,3.07,9.1
7.1,14.4,0.9986,3.07,9.1
5.9,12.3,0.9972,3.34,9.5
6.5,2.5,0.9917,3.33,11.4
7.7,5.3,0.992,3.11,12.2
9,4.9,0.9932,3.04,11.3
7.3,3.2,0.9936,3.25,10.2
6.6,3.1,0.9915,3.24,11.3
6.8,1.4,0.9922,3.15,10
7.1,1.9,0.9934,3.15,9.4
6.8,14,0.9952,3.37,12.2
7,8.3,0.9972,3.4,9.2
7.1,1.9,0.9934,3.15,9.4
7.1,7.4,0.9958,3.35,9.6
7.8,1.4,0.9944,3.28,9.5
6.8,1.7,0.9908,3.35,12.5
7.1,7.4,0.9958,3.35,9.6
6.1,1.3,0.9925,3.35,10
6.4,11.6,0.9966,3.18,9.3
7.8,9.2,0.9972,3.14,9.3
6.6,1.7,0.9912,3.29,11.6
7.1,14.5,0.995,3.38,12.5
6.7,2.1,0.9928,3.36,10.6
6.4,10.7,0.9968,3.08,9.4
6.1,6.9,0.9955,3.19,9.1
5.9,12,0.9981,3.23,9
5.8,4.75,0.991,3.42,11.8
5.8,4.75,0.991,3.42,11.8
5.7,4.75,0.991,3.42,11.8
6.7,1.4,0.992,3.17,10
6.8,1.3,0.9931,3.06,9.7
5.9,11.3,0.997,3.24,9.5
6.4,4.5,0.9948,3.12,9.4
8.1,1.7,0.9923,3.03,11.2
6.2,13.2,0.9976,3.25,9
6.8,5.5,0.9938,3.3,10.7
6.8,13,0.9984,3.08,9
7.2,10.7,0.9972,3.14,9.1
6.7,2,0.9922,3.26,10.8
6.9,1.9,0.9935,3.31,10.1
6.1,6.4,0.9944,3.17,9.9
